Title,Review,Date,Rating (out of 10),Recommended
"""they still haven't replied""","✅ Trip Verified |   I flew from Amsterdam to Las Vegas with a layover in Heathrow in November 2024. The day we were flying the weather wasn't great. Since I was on business I really needed to get to Las Vegas, we anticipated on it and checked early if our flight was still leaving. We would have had ample time to catch an earlier flight to Heathrow or even take the train when we checked. According to google our flight was delayed and we would miss our connection. According to the staff of British airways the flight was not delayed and there was no reason for panic. When we got to the airport there was still nothing wrong with our connection. An hour before we were supposed to leave it was announced that the plane wasn't there yet and we would have a major delay. We called customer service and they told us to just go to London and see from there. We wanted some kind of assurance that we could be placed in a hotel since we would not be making our connecting flight and they refused to give those. In the end we found a direct flight the next day and convinced British airways to book that for us. Even though they wanted to connect us through 3 additional layovers.. This resulted in approximately a 24 hour delay in our trip. On our way back home they lost our luggage at the gate and took approximately 2 hours to find it at a wrong gate. On the way back we tried to check in through the online portal. My colleague was able to check in just fine but I couldn't. I was afraid I was overbooked and contacted customer service 3 times.  When I got to the airport I was overbooked and the ground staff had the nerve to tell me it was my fault for not checking in online. Since we were seated in premium economy I could be moved to regular economy but that does mean someone in economy was bumped off the plane. When we got to London our flight back to Amsterdam was delayed. This was because there were disabled people on board of the plane still and there were not enough wheelchairs to get them off. It took approximately 2 hours before boarding could begin.  When we finally boarded we were told we needed a new pilot because the old pilot had now made too many hours waiting around to still fly us to Amsterdam. Arriving in Amsterdam they had left my luggage in Las Vegas so I needed to wait for another week before that was given back to me. Afterwards I have made a claim as soon as possible for my delays and hotel costs, it's been almost 3 months and they still haven't replied. Every time I contact them they claim they have such a huge backlog that it takes long to process them.",2/18/2025,1,Yes
“food has really gone downhill”,"✅ Trip Verified | First the good news, the club suites are such a huge improvement over the old business seats I hope I never see one again. The not so good news I’m afraid to say was the flight itself. The food has really gone downhill since my last flight, presumably this is a cost cutting measure. If other airlines can offer a really decent quality meal why can’t an airline of BA’s stature? I’ve always thought that a good crew can make up for all the shortcomings but not this time. The crew member looking after me could not have been more bored and was obviously just going through the motions. They couldn’t even be bothered to say cheerio, and I’m not sure I would have answered if they did. Here’s hoping my return is a more satisfying experience.",2/14/2025,4,Yes
"""thoroughly enjoyed this flight""","✅ Trip Verified |   I have never travelled with British airways before and this is the first time I chose to travel with BA due to the cheapest fare available during this time but I was bit unsure if I can enjoy my travel journey due to mixed reviews. I would like to express my extreme joy and satisfaction travelling with this amazing airline. I haven't seen such a great, efficient and friendly service by the cabin crew. I would like to personally thanks Ellie and Adam who were not only very professional but very kind too. Food served was delicious and the drinks were good too. I can say that I thoroughly enjoyed this flight and do not hesitate to recommend to anyone to try it",2/14/2025,9,Yes
“customer support was terrible”,"✅ Trip Verified | Terrible overall, medium service and the flight was delayed. There was no help at all to reschedule a connecting flight. The customer support was terrible and the request for compensation is still pending after one year.",2/7/2025,1,Yes
"""a really enjoyable experience""","✅ Trip Verified |   London Heathrow to Male In new business class. BA continues to get its mojo back starting with a classy lounge serving innovative, and interesting, quality pre-flight food (beetroot scotch eggs?). Excellent wine (Whispering Angel). Presentation of on-board food has always been a bit hit and miss with BA, but on this occasion it was tasty and OK. Friendly and efficient on board crew. Smile, treat them respectfully, and as equals.  On time flight and early arrival.  Only awarding a 9 because we were bussed from A-C gates, otherwise a really enjoyable experience.",2/1/2025,9,Yes
"""Very good flight""",Not Verified |  Very good flight following an equally good flight to Rome. Good food (especially on an evening flight) and aircraft early both ways. Just what short haul should be.,1/20/2025,9,No
"""relatively comfortable elderly plane""",Not Verified |  An hour's delay due to late arrival of the incoming aircraft. The captain was a particularly able communicator who kept us in touch with the situation. We got freebie upgrades to emergency exit seats from a friendly member of the crew. In the end we were only 30 minutes behind schedule in a relatively comfortable elderly plane. Pretty stress free.,1/19/2025,7,No
"""70 days chasing BA’s complaints department""","✅ Trip Verified |   I booked through BA because Loganair don’t have representatives in Manchester airport. Loganair cancelled the flight but someone at BA marked the flight as delayed by 52 minutes. I’ve spent over 70 days chasing BA’s complaints department who are at best totally ineffective. They won’t put you through to the people dealing with the claim (apparently they don’t have the facility to do so!), they won’t phone Loganair, they won’t look on Manchester airports historic flight website to confirm the cancellation, they won’t put you through to a supervisor in fact they do very little but apologise for how little they do.",1/15/2025,1,Yes
"""BA refused to reimburse me""","✅ Trip Verified |   British airways lost bags in LHR then found them. Sent to Cologne where it sat for two days before they told me, but no one was there to give it to me. I spent 10 days in Europe without a bag, bought clothes. BA refused to reimburse me. They closed the case 10 days after i returned to the states when my bag showed up at my front door. They wont let you talk to management, they say they email mail you but they don't then you call customer service. they say they will escalate it but you will never know. they don't update the claims or the forms.",1/9/2025,1,Yes
"""the flight was delayed""","✅ Trip Verified | The check in process and reward/loyalty program is a mess. I am never able to get points, even when trying it through a partner airline. Unfortunately for work I have to travel with them sometimes.  This time, the flight was delayed.",1/5/2025,1,Yes
"""BA forced us to buy new tickets""","✅ Trip Verified |   We flew in November 2023, but it took this long to seek a satisfactory response from BA, which we ultimately never received. BA refused to re-book my son and me at no cost that day due to lack of Underground service / alternate service. BA forced us to buy new tickets and never admitted that they subjected us to disparate treatment. I will not be flying or recommending BA again.",1/4/2025,1,Yes
“staff had no sympathy or empathy”,"✅ Trip Verified | I left for London from Johannesburg at 21:15 on 22 December 2024. My only issue with that flight was the pillows they gave us were dirty and when my 7 year old dropped some juice and I asked a cabin crew member walking past for some serviettes she told me to go to the bathroom to get some to clean it up. Those issues weren’t pleasant but certainly not a major problem. I was booked on the BA0057 at 21:15 on 31 December 2024 to return to Johannesburg. The flight was delayed to the 1 January 2025 at 12:00pm. I had a connecting flight to Durban and do not live in Johannesburg. Landing in Johannesburg with 3 children at 1 am was not an option for me. BA changed my flight to 2nd January 2025 at 18:25. I requested a sooner date so I could get home sooner. I was given 1 January 2025 at 21:15. I accepted this as this is the original time I opted for and would he most convenient for me as I was doing a connection in Johannesburg to Durban. Unfortunately this flight was delayed till 2nd January at 17:00. I was extremely upset by this as I was absolutely exhausted and had 3 children who were absolutely exhausted. I also suffer from eczema and hay fever and did not have my creams and medication. This caused my eczema to flare up so badly, even my lips were cracked and burning. My allergies were so severe that my eyes were sticking together and I couldn’t stop sneezing. My daughter also has eczema and has had a flare up. The staff had no sympathy or empathy for a mother traveling alone and her children. I was just told that they know it’s an inconvenience and a lady even snapped at me that they trying their best. My children are 4, 7 and 11 and we were all booked on separate seats. Is that even legal let alone ethical? They were refusing to help me and saying they can’t do anything. I approached 3 people, and the third person finally put us together. So they could clearly help me??? My flight from Johannesburg to Durban was originally booked on South African Airways and I paid a lot for this ticket as South African Airways is not a low cost airline. I was given a cheap low cost Airline, CemAir, which I had never even heard of, to replace my SAA flight. I suffer from flight anxiety and this is why I never book low cost airlines with tiny flights. My anxiety went through the roof on the flight! Besides all of this, I am also left with a huge credit card bill as I used up all my pounds on the 1st! I know BA is obliged to compensate me for the inconvenience under EU law but besides the compensation BA staff really needs to show more empathy for their passengers, like me, who had two hours long flight delays two days in a row and was alone with 3 children. I expect my full compensation for all of us as this has been by far the worst experience I have had traveling. All their staff kept saying is “that’s why you will get compensation.” I am now waiting to see if I get compensated as I was promised by all of their ground staff! Legally they have to under EU law, so let’s see if they put up a fight or do what is ethical and legal.",1/3/2025,1,Yes
"""the seat is outdated""","✅ Trip Verified |   After an excellent flight on a 777 CPT to LHR the return was not as good. BA have moved the Business Class checkin from one end of the hall to the other at T5 for no apparent reason so a nice long walk to check in. Fast Track security was very slow (15 minutes). The indicator board suggested the South Lounge was ""half full"" but when I went it was uncomfortably full and it is still tatty as not refurbished, so I went to the B Pier lounge instead. Much better except as usual the staff are sort of trying to pack up early and have a bizarre way of refilling the food containers which involves actually removing them to the kitchen (which means they are gone a lot of the time) rather than replenishing them customer side. Very employee-centric behaviour. Time for the flight so down to the transit to take us to the C Gates. Except the transit had decided not to stop any more at the B Gates so we watched five maybe seven transits pass through without stopping. Eventually me and a group of maybe 15 other passengers of mixed ages decided to descend to the walkway and run all the way to the C Gates. We all arrived soaked in sweat - not a nice start to a long business class flight. The A380 is spacious but the seat is outdated now and in urgent need of replacement. IFE was not working and had to be rebooted. The headphone prong was bent so headphones not working. The USB port was not working. Drinks were brought out promptly. Starter (salmon) was delicious - truly excellent. Beef was tough ... I think a bad piece of meat rather than badly cooked. Wines were good. Cheese was average to good. Staff were friendly. Good night's sleep. Breakfast good. The recheck experience at JNB is a huge hassle - there is a giant screen saying ""Domestic recheck"" and a queue but when you get to the front of the queue you are told it is SAFAIR only and not for SAA, BA's local partner. What a hassle. Why aren't we warned or told this ... loads of BA passengers making the same mistake. Overall 5/10. It's the little things that would make this better: fast track actually fast track. Refurbish the South Lounge. Have food replenishment in the passenger area, not the kitchen; make sure the transits stop, even late in the evening; refurbish the A380s; ask Do & Co (who are generally excellent by the way) to monitor meat quality rigorously.",1/1/2025,5,Yes
"""a national disgrace""","✅ Trip Verified |   On a recent flight from Cyprus BA621 on 23/11/24, the second the cabin door was closed the pilot announced we would be held on the runway for 2 hours. They know this prior and did not inform passengers until after we had boarded. The flight home took nearly 6 hours due to weather conditions, this plus 2 hours waiting. What did BA offer during this 8 hour hell flight, 3 oatmeal biscuits and 250ml of water for our family. When I went to the cabin crew to ask for more water, which I was told there wasn’t any 3 out of the 4 cabin crew were asleep in the back row seats of the aircraft BA621 on 23/11/24. This infuriated me further as I had previously asked if there were any spare seats so that my 2 year old could spread out and get some sleep if available. I was told the flight was full. After we arrived late my connecting flight had now been missed. We then queued at the connections desk in a large queue only to watch the BA staff clock off for the night in front of us. No genuine support was given to me, or my family and we were effectively abandoned by BA. I’ve tried to speak to someone, but their helpline has an automated message saying due to the number of calls (not surprised by that aspect) they cant assist me, then hang up. Tried this several times at various times. I think it’s their default message. Have raised this via their email system. Unsurprisingly been mugged off and can’t escalate until 8 weeks have passed. Like I said a national disgrace.",12/17/2024,1,Yes
"""sheer neglect in keeping us informed""","✅ Trip Verified |   Flight BA 0560 arrived in Rome on 11 December where ALL passengers received a SMS from BA to say that their luggage had been left in London.  My wife and I completed the required form but were in a queue for 2 hours to have it checked. BA’ s agent in Rome believe the baggage would arrive on the last flight that night (10pm) and would most likely be delivered next day. Nobody from BA in Rome Airport made contact with us to explain what happened and when bags would arrive. We finally got our luggage delivered to us at 4pm on Sunday 15 December - the day before we were due to leave Rome. During the waiting period there was no contact initiated by either BA or their Rome agents and on several occasions when we called both Rome and London help desks, we received no updates. In 34 years of travelling together this has never happened before and the sheer neglect in keeping us informed is disgusting. Sadly for BA, we will never fly with it again and will share our horror story with others and strongly encourage them to fly with another airline. I would give BA an overall rating of zero.",12/17/2024,1,Yes
"""a huge disappointment""","✅ Trip Verified |   This was the first time I flew British Airways, and it was a huge disappointment. While the seat is quite good, the food is very simple and the service is subpar. But not only that, Heathrow airport, their hub, is by far the worst large airport I’ve seen in Europe. When we landed in DC I had an email saying that my luggage stayed in London. This was last Wednesday. I have an AirTag so I could follow my suitcase. It came to Washington the following day, Thursday. Ever since, it’s been sitting in the airport. British offers no means of communication: the online chat is a bot. The bot tells me to call a number in England. I did. It’s another bot. When you say you have in inquiry about luggage it sends you a link via SMS and hangs up. No option to talk to a human. In the claim form they gave me there’s a local phone, which reaches a voicemail. I keep calling them (6 times today only) and leaving messages, saying that the AirTag shows the suitcase in IAD and offering to go pick it up so they don’t need to deliver it. No one replies to the voicemail. So basically I am shut out, with no luggage, no information, no customer service and no one to talk to.",12/14/2024,2,Yes
"""we had to bus to the aircraft""","✅ Trip Verified |   Pretty good flight but still some small things that can be improved. Check in was quick. Lounge was good - tasty food and well chosen wines. Disappointingly they had not secured a gate so we had to bus to the aircraft and it was all a hot scrum. I got the last bus to avoid the crush. Emirates, Turkish, Lufthansa, Qatar all had planes on gates ... why not BA? Penny-pinching? Then it turned out the cabin crew forgot about those on the last bus so I had to ask for a welcome drink. It came and the champagne was actually cold. Well done BA ... first time they managed to serve champagne cold in my 10 years of flying with them. Big improvement. Cabin and seat were lovely as always (I greatly prefer to the Emirates white/gold bling). Drinks service was prompt. IFE was good. Starter (trout) was OK. Main (chicken) was excellent. Cheese was sold not cold (as it should be). Wines were excellent. We were not disturbed through the night so got a good sleep on a comfy bed. Cabin was a bit too warm though for my personal preference. Was woken up (as asked) and served a tasty breakfast. Small detail - as it is impossible to get water to 100C at altitude maybe BA could warm the ceramic coffee cups so coffee retains its heat a bit longer? Pouring not quite hot coffee into a nice (but cold) china mug means it is lukewarm instantly. Off the plane in record time (2 minutes) after parking. Bags were waiting for us on the belt. Excellent work by the ground staff. Overall 8/10. Improvement points: gate not bus to the plane; don't forget passengers on the last bus or who board late (but well before pushback). Standout cabin crew member was ""Miguel"" - what a star.",12/13/2024,8,Yes
"“victims of their new supper service""","✅ Trip Verified | Check in was fine, but no priority/fast track lines for security or boarding. There is only one lounge option for first class customers in Mexico City, which is the American Airlines admirals club, which is abysmal. There is a free bar, serving cheap alcohol – an awful food selection – and nowhere to shower. On board – I find the seat really comfortable. The crew were fantastic, and I’m starting to really see some consistency in the quality of their first class crew. The drink selection was fine. The food was appalling. We were the victims of their new supper service. This is basically a dinner service with a lot less options/choice. No fish/seafood options on either the starters or the mains. First choice of Main unavailable as only two had been loaded. The fillet steak, so drying and overcooked, that I heard at least three people send it back. Pretty impressive for a cabin of just eight passengers..Dreadful dessert and cheeseboard. luggage off swiftly the other end – so good to see priority tagging working.",12/12/2024,7,Yes
“flight was cancelled last minute”,"✅ Trip Verified | British Airways is absolute rubbish. I had to fly to Amsterdam for an urgent appointment. The flight was cancelled last minute presumably due to bad weather. They've kept us at the gate saying the plane couldn't land while literally every plane from that airport was taking off and landing with zero issues. There was another KLM flight to Amsterdam scheduled to depart at the same time. It took off on time and another KLM flight to Amsterdam later the evening also took off without any problems. It's just the one operated by British Airways was cancelled because of 'the bad weather'. Apparently, the weather was so bad that every plane could land and take off successfully apart from theirs. I had to rebook myself on the Eurostar the next day and would still miss the important appointment that I intended to go to Amsterdam for. All thanks to British Airways.",12/6/2024,1,Yes
“Nobody wants to take responsibility”,"✅ Trip Verified | The flight time was changed at the last minute without warning and no assistance was provided by the ground staff (3rd party agents) regarding the impact for the delay, nor was any help forthcoming from the phoneline. Nobody in the airline wants to take responsibility for anything. This is fundamentally an unreliable airline. Onboard service was poor and not even as good as some low cost airlines.",12/2/2024,1,Yes
"""Terrible customer service""","✅ Trip Verified |   I'm so fraustrated. My flight was cancelled last minute, which wasn't the end of the world, even though the earliest I could get re-booked was three days later. It's the insane saga of events that proceeded to claim the compensation that I'm legally entitled to according to EU rules. Used their claims page and all was OK. It was from there that it became incomprehensibly frustrating. My case was closed but no confirmation of what the conclusion was or any money. I tried calling but kept being lead in circles; customer services can't speak to the claims team, the claims team can't be spoken to directly, customer service don't have access to the claims team's system and so on. 4 calls later and 'nothing could be done'. I had to throw my toys out of the pram on the last call and someone finally updated me. I thought that was the end; they had confirmed the claim and that I would be transferred what I was due. And then, they got the amount wrong. I wrote to they to highlight this and they said that they would rectify it. Almost 1 month since the original flight was cancelled and still haven't received what is owed to me as compensation for my wife and son. I have sent two more emails in the last two days and I've yet to get a response. It is criminal that they are not adhering to the aviation rules that dictate compensation for cancelled flights. Terrible customer service and honestly can't belive that BA are capable of such awful service.",11/29/2024,1,Yes
“Is British Airways really this cheap”,✅ Trip Verified | We have sat on this plane for an hour and forty five minutes awaiting takeoff due to bad weather in London. This is understandable for safety. Fortunately I have a long layover so this delay does not affect me. However many others are not so lucky. While waiting we were given one small bottle of water and one tiny pack of corn kernels. Later food and drink were offered for purchase. This is my complaint. After sitting idle on this plane for nearly two hours and possibly missing connecting flights they can’t give us a free bag of chips and a coke? When I asked I was told no. Is British Airways really this cheap and money grubbing?,11/23/2024,1,Yes
"""I will never fly BA again""","Not Verified |  British Airways stranding my wife and I at Heathrow Airport for 2.5 days, with no access to our baggage. We we told by airline employees to purchase any necessities (toiletries, refreshments, etc.) and we'd be reimbursed. That claim was denied, with BA claiming that weather was the reason for the delay (an outright lie since every other airline in London was flying on-time). We were unable to to anything besides stand in lines for vouchers, stand in lines for shuttles, stand in line for reservations, etc. for 48+ hours. It was an absolute nightmare and I will never fly BA again.",11/18/2024,1,No
"""I was pleasantly surprised""","✅ Trip Verified |   Although like many these days, I avoid BA on long haul from London Heathrow due to my perception of poor service and lack of customer services if things go wrong, I was pleasantly surprised by my recent flight to Belfast. The aircraft actually left on time and arrived ahead of schedule. The cabin crew looked bored and uninspired as they can often do on BA (I read at times) but that didn’t really matter. It was a quiet flight so I say myself at the emergency exit unchallenged which was handy. Would fly again with BA where pressed.",11/17/2024,4,Yes
"""flight attendants were outstanding""","✅ Trip Verified | This flight was British Airways at its very best. The flight attendants were outstanding - processional, attentive and helpful. The food was very good and the seat/lie flat bed was very comfortable. I love to smart design of the A350 Club World cabin. Wonderful flight home!",11/15/2024,10,Yes
"""Food and service was the worst""","Not Verified | The worst airline I have ever flown with. They cancelled my flight 3 hours before departure and didn’t even contact me. They didn’t put me on a new flight - I had to rebook myself for the next day - and I was also left to find my own accommodation which was a nightmare and have been refused compensation and I was left stranded. Onboard services are also archaic and outdated and the planes are the oldest out of any airline I’ve flown with. Food and service was the worst I’ve ever experienced and I’ve travelled on most airlines (Emirates, Etihad, Thai, Malaysian, Qantas, Cathay, UA etc). DO NOT FLY WITH BA.",11/13/2024,1,No
“flying with BA was disappointing”,"✅ Trip Verified |   Disappointing service, plane interior and terribly incompetent customer service I booked my flight directly through BA's website. Soon after I started to get emails saying my selected seats (I paid extra for the selection) had been changed by BA without any reason given and I was directed to the website. There I found no information on the said seat change. This happened several times (I had 4 flights altogether). The website seems to be a digital dinosaur. The first leg of my flight was fine, until I discovered in the transfer area at Heathrow that I forgot my new laptop onboard. Immediately I contacted BA's so called Customer Service (what an oxymoron), which basically said they can not do anything, I would have to wait until the cleaners (working for a contractor) would have finished their job and hope they would discover the laptop and return it to so called Lost & Found at the airport. BA's customer service said they couldn't contact their colleagues in the terminal/gate were the plane was still and let them know there was a lost laptop by seat no 27A of the plane (yes I told them exactly were the laptop was). They wouldn't take any contact details either to notify me if and when the laptop would be returned and they refused to register the incident. They simply had no interest in assisting me and didn't even make an attempt to pretend they did. Communication via their online customer service was poor, and they didn't even respond to my messages. In the end I emailed the representative at Heathrow and he replied with a message form his supervisor (which did not reveal his name): ""It is not the duty of British Airways to find lost property on behalf of our passengers, however if you would like to dispute this you can contact customer relations online with further feedback."" They took no responsibility and referred me to Smartecarte, which is the contractor cleaning their planes and apparently collecting lost items at Heathrow. I have not received the laptop, worth 2 thousand GBP, back now 3 weeks later. The flights between London and Cape Town (~12 hours), were unpleasant. The flight attendants were seemingly unenthusiastic about their job, it took up to an hour to collect the trash after the meal, which also was distributed extremely slowly. Food was not good. Boarding was slow and inefficient. Drinks were only offered twice (otherwise you'd have to ask for it especially) on this long flights. The seats were of fabric, uncomfortable and room too scarce to relax and sleep. All in all flying with British Airways was disappointing and I will not be keen on flying with them again.",11/8/2024,3,Yes
"""won't be using her return ticket""",✅ Trip Verified |   A transit visa is required for my partner to transit via London to Iceland. So I had to buy a separate ticket for her via another airline. When we reach Iceland I emailed British Airways telling then she won't be using her return ticket and requested for a partial refund. 2 days later. I received an email from customer service that I need to contact one of their service centres via the provided link. I replied to say the link only goes to a page with various British landline phone numbers to call and explained that I am overseas then and it will not be practical to do this via international calls. They replied to say I can only do this by contacting the service centres. So the airline end up taking my money regardless.,11/8/2024,1,Yes
"""the same as low cost carriers""","✅ Trip Verified |   I was surprised to receive confirmation pre-flight that I had 69 kgs luggage allowance. This to be later confirmed as one at 23 kg checked in, another 23 kgs carry on for under seat, and a third 23 kgs carry on for overhead stowage. Checkin opened a bit late, and the line for Executive Club members even later, but was courteous and efficient. Long queue for passport control but the fault of Brexit, not BA. My seat had no screen; no earphone socket; no charge point; no seat recline; no boarding music. All the same as low cost carriers. Captain announced ""Wonderful service from Emily and crew"" - maybe it was in Club Class, not the economy cabin. It was announced that they would serve complimentary water and snack, but only the snack came. It was also announced there would be free text messaging for Exec Club members, but I couldn't get it to work, although a member. Snacks were sold, some at twice TUI price. For example Cadbury's chocolate fingers at £3.50. I chose BA this time as when I booked it was cheaper than all the charter carriers. And being British I mustn't forget BA's impeccable safety record and normally reliable service. After landing the Purser thanked the crew for their hard work. Seems pushing one small cart down the aisle during four hours constitutes hard work in BA. But at least we were on time.",11/7/2024,3,Yes
“not refunding our money”,"✅ Trip Verified |   Flight cancelled, not refunding our money saying we took the flight that never happened. Not refunding the new flights we booked, hotels, food while we were stranded. Did not provide food or water while waiting for hours on tarmac. Will not provide information as to why they aren't refunding the flight that never happened. Saying there is no more information.",11/7/2024,1,Yes
“A very poor experience”,"✅ Trip Verified |   I had visa issues, and hence, was debarred from flying. The ground staff at Mumbai was excellent (a woman named Brinelle) was very helpful and understanding. I had to rebook my tickets, and while the original journey was consisting of 3 legs, BA forced me to rebook the entire ticket, because their system did not allow them to rebook just that one leg (even though there was a gap of 13 days between the two legs, not like they were connecting flights). The telephone operator was rude, took 45 minutes and kept saying she needed 3-4 more minutes to give me clarity. It was horrendous. The final price they offered me for rebooking 2 of the 3 legs was much more than the original fare for all 3 legs. She was torturous, BA was horrendous because the website does not allow you to do all this. A very poor experience, in all.",11/5/2024,1,Yes
